stock_id,StrategyRank,Chart,stock_name,industry_category,Rating,total_score,current_price,MA240,BiasRate,score_fill,score_roa,score_yield,cash_dividend,avg_yield,avg_fill_days,avg_roa,avg_core_ratio,price_date,RatingRank
5508,1,"<a href=""HighYield_V2_Charts/Chart_5508.html"" target=""_blank"">📊 View</a>",永信建,建材營造,Superior,6,61.2,101.06708333333333,-0.3944615993502665,3,0,3,8.682312,8.671023582501729,24.5,0,0,2026-01-29,2
7757,2,"<a href=""HighYield_V2_Charts/Chart_7757.html"" target=""_blank"">📊 View</a>",金色三麥,觀光餐旅,Superior,6,112.5,144.72083333333333,-0.22264129214291883,3,0,3,9.0,5.7324840764331215,1.0,0,0,2026-01-29,2
7805,3,"<a href=""HighYield_V2_Charts/Chart_7805.html"" target=""_blank"">📊 View</a>",威聯通,數位雲端類,Superior,6,563.0,700.0625,-0.19578609052763146,3,0,3,40.0,5.47945205479452,30.0,0,0,2026-01-29,2
7705,4,"<a href=""HighYield_V2_Charts/Chart_7705.html"" target=""_blank"">📊 View</a>",三商餐飲,觀光餐旅,Superior,6,40.15,49.91645833333334,-0.19565607535924617,3,0,3,3.5,5.292422086945014,13.0,0,0,2026-01-29,2
2387,5,"<a href=""HighYield_V2_Charts/Chart_2387.html"" target=""_blank"">📊 View</a>",精元,電腦及週邊設備業,Superior,6,38.1,47.221250000000005,-0.19315985917357129,3,0,3,3.1,6.305118774633748,29.25,0,0,2026-01-29,2
5546,6,"<a href=""HighYield_V2_Charts/Chart_5546.html"" target=""_blank"">📊 View</a>",永固-KY,建材營造,Superior,6,22.35,27.04375,-0.17356135890917487,3,0,3,3.777113643333333,6.1099377787580815,20.0,0,0,2026-01-29,2
7767,7,"<a href=""HighYield_V2_Charts/Chart_7767.html"" target=""_blank"">📊 View</a>",仁大資訊,資訊服務業,Superior,6,47.3,56.680625,-0.16549967471247895,3,0,3,3.0,5.1020408163265305,5.0,0,0,2026-01-29,2
8426,8,"<a href=""HighYield_V2_Charts/Chart_8426.html"" target=""_blank"">📊 View</a>",紅木-KY,其他,Superior,6,27.5,32.078541666666666,-0.1427291088928866,3,0,3,2.5,6.371916508538899,1.0,0,0,2026-01-29,2
4565,9,"<a href=""HighYield_V2_Charts/Chart_4565.html"" target=""_blank"">📊 View</a>",宏偉,電機機械,Superior,6,98.2,112.96708333333332,-0.13072023192596652,3,0,3,4.1,5.066701703964264,25.4,0,0,2026-01-29,2
8163,10,"<a href=""HighYield_V2_Charts/Chart_8163.html"" target=""_blank"">📊 View</a>",達方,電腦及週邊設備業,Superior,6,31.6,36.05104166666667,-0.12346499465456966,3,0,3,2.9,6.240495675489027,30.0,0,0,2026-01-29,2
6150,11,"<a href=""HighYield_V2_Charts/Chart_6150.html"" target=""_blank"">📊 View</a>",撼訊,電腦及週邊設備業,Superior,6,62.2,70.74041666666668,-0.12072895621904034,3,0,3,5.75,8.061534519364521,3.0,0,0,2026-01-29,2
6212,12,"<a href=""HighYield_V2_Charts/Chart_6212.html"" target=""_blank"">📊 View</a>",理銘,建材營造,Superior,6,38.0,42.82166666666667,-0.11259876230880018,3,0,3,3.3333333333333335,5.631875589287087,14.0,0,0,2026-01-29,2
6195,13,"<a href=""HighYield_V2_Charts/Chart_6195.html"" target=""_blank"">📊 View</a>",詩肯,居家生活類,Superior,6,25.25,28.094166666666663,-0.1012369115771363,3,0,3,3.04765063,6.584951823768982,25.0,0,0,2026-01-29,2
4440,14,"<a href=""HighYield_V2_Charts/Chart_4440.html"" target=""_blank"">📊 View</a>",宜新實業,紡織纖維,Superior,6,17.4,18.788958333333333,-0.07392417975983243,3,0,3,1.9600000000000002,5.4223634195116155,6.0,0,0,2026-01-29,2
5220,15,"<a href=""HighYield_V2_Charts/Chart_5220.html"" target=""_blank"">📊 View</a>",萬達光電,光電業,Superior,6,18.2,19.53916666666667,-0.06853755277860728,3,0,3,1.6800000000000002,5.342832349878515,13.0,0,0,2026-01-29,2
8481,16,"<a href=""HighYield_V2_Charts/Chart_8481.html"" target=""_blank"">📊 View</a>",政伸,其他,Superior,6,42.35,44.88916666666667,-0.05656524402695527,3,0,3,4.37,6.685788692273188,7.0,0,0,2026-01-29,2
4575,17,"<a href=""HighYield_V2_Charts/Chart_4575.html"" target=""_blank"">📊 View</a>",銓寶,電機機械,Superior,6,20.6,21.765625,-0.05355348169418515,3,0,3,1.35,5.327914382187791,11.0,0,0,2026-01-29,2
3227,18,"<a href=""HighYield_V2_Charts/Chart_3227.html"" target=""_blank"">📊 View</a>",原相,半導體業,Superior,6,208.5,220.03125,-0.0524073285044738,3,0,3,7.599863996000001,5.155162933113295,28.4,0,0,2026-01-29,2
6170,19,"<a href=""HighYield_V2_Charts/Chart_6170.html"" target=""_blank"">📊 View</a>",統振,通信網路業,Superior,6,48.95,50.938750000000006,-0.03904198669971295,3,0,3,2.1879999999999997,5.024472919852717,10.5,0,0,2026-01-29,2
3541,20,"<a href=""HighYield_V2_Charts/Chart_3541.html"" target=""_blank"">📊 View</a>",西柏,其他電子類,Superior,6,26.05,27.079166666666666,-0.03800584705339277,3,0,3,3.282678496666667,5.595643745543114,10.0,0,0,2026-01-29,2
5225,21,"<a href=""HighYield_V2_Charts/Chart_5225.html"" target=""_blank"">📊 View</a>",東科-KY,電子工業,Superior,6,100.5,104.27666666666667,-0.036217754051721424,3,0,3,5.152929745,5.634680918594168,4.333333333333333,0,0,2026-01-29,2
9962,22,"<a href=""HighYield_V2_Charts/Chart_9962.html"" target=""_blank"">📊 View</a>",有益,鋼鐵工業,Superior,6,11.85,12.232291666666667,-0.03125266115983994,3,0,3,1.125,6.30870565628658,25.0,0,0,2026-01-29,2
2707,23,"<a href=""HighYield_V2_Charts/Chart_2707.html"" target=""_blank"">📊 View</a>",晶華,觀光餐旅,Superior,6,189.0,195.05,-0.031017687772366118,3,0,3,10.306435275999998,5.008500128157786,18.5,0,0,2026-01-29,2
1713,24,"<a href=""HighYield_V2_Charts/Chart_1713.html"" target=""_blank"">📊 View</a>",國化,化學生技醫療,Superior,6,49.2,50.610625,-0.027872111834224455,3,0,3,2.282,5.045211832276516,18.25,0,0,2026-01-29,2
8024,25,"<a href=""HighYield_V2_Charts/Chart_8024.html"" target=""_blank"">📊 View</a>",佑華,半導體業,Superior,6,13.8,13.882708333333333,-0.0059576511547638255,3,0,3,1.7,7.323366508212338,17.0,0,0,2026-01-29,2
8422,26,"<a href=""HighYield_V2_Charts/Chart_8422.html"" target=""_blank"">📊 View</a>",可寧衛*,綠能環保,Unqualified,2,38.65,157.98604166666667,-0.7553581342233556,0,0,2,7.7906676379999995,4.135168681657786,272.6,0,0,2026-01-29,1
1442,27,"<a href=""HighYield_V2_Charts/Chart_1442.html"" target=""_blank"">📊 View</a>",名軒,建材營造,Unqualified,5,29.7,57.54666666666666,-0.48389712696941606,3,0,2,2.2600000000000002,4.905408982638937,17.75,0,0,2026-01-29,1
2245,28,"<a href=""HighYield_V2_Charts/Chart_2245.html"" target=""_blank"">📊 View</a>",詠勝昌*,電機機械,Unqualified,4,28.2,48.95541666666667,-0.42396568306196974,1,0,3,2.2,5.43451943436609,67.6,0,0,2026-01-29,1
2760,29,"<a href=""HighYield_V2_Charts/Chart_2760.html"" target=""_blank"">📊 View</a>",巨宇翔,觀光餐旅,Unqualified,5,30.0,49.10666666666667,-0.3890849850665219,3,0,2,3.317004563333333,4.390478516322756,13.5,0,0,2026-01-29,1
3056,30,"<a href=""HighYield_V2_Charts/Chart_3056.html"" target=""_blank"">📊 View</a>",富華新,建材營造,Unqualified,5,17.15,27.609166666666667,-0.3788294950348617,2,0,3,2.482,6.164088851264452,55.0,0,0,2026-01-29,1
9906,31,"<a href=""HighYield_V2_Charts/Chart_9906.html"" target=""_blank"">📊 View</a>",欣巴巴,建材營造,Unqualified,3,44.85,71.47916666666667,-0.3725444476828913,1,0,2,4.070835575,4.929491905333673,101.0,0,0,2026-01-29,1
8089,32,"<a href=""HighYield_V2_Charts/Chart_8089.html"" target=""_blank"">📊 View</a>",康全電訊,通信網路業,Unqualified,3,28.55,43.71520833333333,-0.34690920875172154,1,0,2,1.2331636875,4.444956591430254,66.66666666666667,0,0,2026-01-29,1
6219,33,"<a href=""HighYield_V2_Charts/Chart_6219.html"" target=""_blank"">📊 View</a>",富旺,建材營造,Unqualified,2,16.05,24.511458333333334,-0.3452041987165866,0,0,2,0.9833333333333334,4.506562966820977,268.0,0,0,2026-01-29,1
1436,34,"<a href=""HighYield_V2_Charts/Chart_1436.html"" target=""_blank"">📊 View</a>",華友聯,建材營造,Unqualified,4,61.2,93.19041666666666,-0.34328011195714864,1,0,3,5.343303756,6.120860653730524,118.5,0,0,2026-01-29,1
7770,35,"<a href=""HighYield_V2_Charts/Chart_7770.html"" target=""_blank"">📊 View</a>",君曜,半導體業,Unqualified,5,56.2,81.45,-0.3100061387354205,3,0,2,4.0,4.371584699453552,3.0,0,0,2026-01-29,1
7797,36,"<a href=""HighYield_V2_Charts/Chart_7797.html"" target=""_blank"">📊 View</a>",Q Burger,觀光餐旅,Unqualified,2,61.7,89.39291666666666,-0.30978871368443617,0,0,2,5.08230002,4.4193913217391305,,0,0,2026-01-29,1
2377,37,"<a href=""HighYield_V2_Charts/Chart_2377.html"" target=""_blank"">📊 View</a>",微星,電腦及週邊設備業,Unqualified,5,93.7,132.41375,-0.2923695613182165,3,0,2,6.720000000000001,4.749223808742408,27.75,0,0,2026-01-29,1
2520,38,"<a href=""HighYield_V2_Charts/Chart_2520.html"" target=""_blank"">📊 View</a>",冠德,建材營造,Unqualified,3,31.05,43.681875,-0.28917886423144606,0,0,3,2.3106327159999998,5.71086323134669,406.0,0,0,2026-01-29,1
