stock_id,策略排名,K線圖,名稱,產業分類,評級,總分,收盤價,乖離率,cash_dividend,平均殖利率,平均填息天數,price_date,年線(240MA),平均ROA,本業獲利比,殖利率評分,填息能見度評分,ROA評分,評級分數
6212,23,"<a href=""HighYield_V2_Charts/Chart_6212.html"" target=""_blank"">📊 View</a>",理銘,建材營造,Elite,9,37.75,-0.11443442562861954,3.3333333333333335,5.631875589287087,14.0,2026-02-02,42.628125,5.7971940088132925,100.49187161915047,3,3,3,3
9938,24,"<a href=""HighYield_V2_Charts/Chart_9938.html"" target=""_blank"">📊 View</a>",百和,其他,Elite,8,50.1,-0.11201045736187927,2.6,4.171262769207213,21.4,2026-02-02,56.41958333333333,5.280260693670619,124.29073599355108,2,3,3,3
3227,25,"<a href=""HighYield_V2_Charts/Chart_3227.html"" target=""_blank"">📊 View</a>",原相,半導體業,Elite,9,195.0,-0.11160888011465561,7.599863996000001,5.155162933113295,28.4,2026-02-02,219.49791666666667,11.992966964581903,80.58844666355269,3,3,3,3
6508,26,"<a href=""HighYield_V2_Charts/Chart_6508.html"" target=""_blank"">📊 View</a>",惠光,農業科技業,Elite,8,23.4,-0.10572536405544627,1.852899456,5.118554261136462,39.0,2026-02-02,26.16645833333333,5.71161529225291,98.73278921486124,3,2,3,3
5015,27,"<a href=""HighYield_V2_Charts/Chart_5015.html"" target=""_blank"">📊 View</a>",華祺,鋼鐵工業,Elite,8,28.9,-0.10278632965099738,3.2600000000000002,7.394259877348295,51.5,2026-02-02,32.21083333333333,8.521781991034471,81.81001165351945,3,2,3,3
6195,28,"<a href=""HighYield_V2_Charts/Chart_6195.html"" target=""_blank"">📊 View</a>",詩肯,居家生活類,Elite,9,25.2,-0.1007360047580106,3.04765063,6.584951823768982,25.0,2026-02-02,28.022916666666667,5.891490365437532,98.48557925072112,3,3,3,3
7575,29,"<a href=""HighYield_V2_Charts/Chart_7575.html"" target=""_blank"">📊 View</a>",安美得,生技醫療業,Elite,8,28.0,-0.08717976581814235,2.0,4.24578185838581,11.0,2026-02-02,30.674166666666668,6.494422038809069,119.45830699985633,2,3,3,3
6637,30,"<a href=""HighYield_V2_Charts/Chart_6637.html"" target=""_blank"">📊 View</a>",醫影,生技醫療業,Elite,8,76.3,-0.08497189256714562,2.714812732,4.07209857919918,25.0,2026-02-02,83.38541666666667,13.157832063098112,107.64262013740432,2,3,3,3
7718,31,"<a href=""HighYield_V2_Charts/Chart_7718.html"" target=""_blank"">📊 View</a>",友鋮,鋼鐵工業,Elite,8,44.25,-0.08488903633300728,3.25,6.2554449112824075,40.0,2026-02-02,48.354791666666664,9.315288631413082,92.90453757271543,3,2,3,3
4440,32,"<a href=""HighYield_V2_Charts/Chart_4440.html"" target=""_blank"">📊 View</a>",宜新實業,紡織纖維,Elite,9,17.2,-0.08189137493883729,1.9600000000000002,5.4223634195116155,6.0,2026-02-02,18.734166666666667,7.011024943543486,89.86000114135972,3,3,3,3
5220,33,"<a href=""HighYield_V2_Charts/Chart_5220.html"" target=""_blank"">📊 View</a>",萬達光電,光電業,Elite,9,17.9,-0.0816490129223272,1.6800000000000002,5.342832349878515,13.0,2026-02-02,19.491458333333334,7.190552219943835,62.216502278372104,3,3,3,3
